site,sampleID,interval,rmcd,d13C,d18O
1168A,1H1W,5–7,0.33,,1.09
1168A,1H1W,10–12,0.38,,3.09
1168A,1H1W,15–17,0.43,,3.33
1168A,1H1W,25–27,0.53,,3.21
1168A,1H1W,30–32,0.58,,4.06
1168A,1H1W,35–37,0.63,,3.71
1168A,1H1W,50–52,0.78,,3.63
1168A,1H1W,55–57,0.83,,3.84
1168A,1H1W,60–62,0.88,,3.38
1168A,1H1W,75–77,1.03,,2.84
1168A,1H1W,85–87,1.13,,3.04
1168A,1H1W,90–92,1.18,,2.81
1168A,1H1W,95–97,1.23,,2.53
1168A,1H1W,100–102,1.28,,2.99
1168A,1H1W,105–107,1.33,,2.59
1168A,1H1W,110–112,1.38,,3.65
1168A,1H1W,115–117,1.43,,3.38
1168A,1H1W,120–122,1.48,,2.92
1168A,1H1W,125–127,1.53,,3.12
1168A,1H1W,130–132,1.58,,2.18
1168A,1H1W,140–142,1.68,,3.05
1168A,1H2W,0–2,1.78,,3.49
1168A,1H2W,5–7,1.83,,1.69
1168A,1H2W,10–12,1.88,,1.71
1168A,1H2W,15–17,1.93,,3.13
1168A,1H2W,20–22,1.98,,4.54
1168A,1H2W,25–27,2.03,,3.99
1168A,1H2W,30–32,2.08,,3.73
1168A,1H2W,35–37,2.13,,4.25
1168A,1H2W,40–42,2.18,,3.59
1168A,1H2W,45–47,2.23,,3.89
1168A,1H2W,50–52,2.28,,3.9
1168A,1H2W,55–57,2.33,,2.44
1168A,1H2W,60–62,2.38,,3.06
1168A,1H2W,65–67,2.43,,2.84
1168A,1H2W,70–72,2.48,,3.81
1168A,1H2W,75–77,2.53,,3.52
1168A,1H2W,80–82,2.58,,3.97
1168A,1H2W,85–87,2.63,,4.29
1168A,1H2W,90–92,2.68,,3.96
1168A,1H2W,95–97,2.73,,4.12
1168A,1H2W,100–102,2.78,,3.99
1168A,1H2W,105–107,2.83,,3.1
1168A,1H2W,115–117,2.93,,3.35
1168A,1H2W,120–122,2.98,,3.19
1168A,1H2W,125–127,3.03,,3.41
1168A,1H2W,130–132,3.08,,2.4
1168A,1H2W,135–137,3.13,,3.28
1168A,1H2W,140–142,3.18,,3.58
1168A,1H2W,145–147,3.23,,2.98
1168A,1H3W,0–2,3.28,,3
1168A,1H3W,5–7,3.33,,2.65
1168A,1H3W,15–17,3.43,,2.82
1168A,1H3W,20–22,3.48,,3.43
1168A,1H3W,25–27,3.53,,3.51
1168A,1H3W,30–32,3.58,,3.43
1168A,1H3W,35–37,3.63,,3.21
1168A,1H3W,40–42,3.68,,2.5
1168A,1H3W,45–47,3.73,,2.3
1168A,1H3W,50–52,3.78,,2.05
1168A,1H3W,55–57,3.83,,2.56
1168A,1H3W,60–62,3.88,,2.49
1168A,1H3W,65–67,3.93,,2.46
1168A,1H3W,70–72,3.98,,2.09
1168A,1H3W,75–77,4.03,,2.27
1168A,1H3W,80–82,4.08,,2.74
1168A,1H3W,85–87,4.13,,2.68
1168A,1H3W,90–92,4.18,,2.5
1168A,1H3W,95–97,4.23,,1.91
1168A,1H3W,100–102,4.28,,2.1
1168A,1H3W,105–107,4.33,,2.3
1168A,1H3W,110–112,4.38,,2.32
1168A,1H3W,115–117,4.43,,2.54
1168A,1H3W,120–122,4.48,,2.06
1168A,1H3W,125–127,4.53,,1.99
1168A,1H3W,130–132,4.58,,2.45
1168A,1H3W,135–137,4.63,,2.23
1168A,1H3W,140–142,4.68,,2.96
1168A,1H4W,0–2,4.78,,3.37
1168A,1H4W,5–7,4.83,,3.54
1168A,1H4W,10–12,4.88,,2.88
1168A,1H4W,15–17,4.93,,2.67
1168A,1H4W,20–22,4.98,,3.05
1168A,1H4W,25–27,5.03,,2.19
1168A,1H4W,30–32,5.08,,3.05
1168A,1H4W,35–37,5.13,,4.15
1168A,1H4W,40–42,5.18,,4.34
1168A,1H4W,45–47,5.23,,4.08
1168A,1H4W,50–52,5.28,,4
1168A,1H4W,55–57,5.33,,2.68
1168A,1H4W,60–62,5.38,,3.02
1168A,1H4W,65–67,5.43,,2.96
1168A,1H4W,70–72,5.48,,3.13
1168A,1H4W,75–77,5.53,,2.9
1168A,1H4W,80–82,5.58,,2.98
1168A,1H4W,85–87,5.63,,3.31
1168A,1H4W,90–92,5.68,,2.32
1168A,1H4W,95–97,5.73,,1.7
1168A,1H4W,100–102,5.78,,3.12
1168A,1H4W,105–107,5.83,,2.59
1168A,1H4W,110–112,5.88,,2.12
1168A,1H4W,115–117,5.93,,2.78
1168A,1H4W,135–137,6.13,,2.7
1168A,1H4W,140–142,6.18,,2.6
1168A,1H4W,145–147,6.23,,3.51
1168A,1H5W,0–2,6.28,,2.42
1168A,1H5W,5–7,6.33,,3.17
1168A,1H5W,10–12,6.38,,3.01
1168A,1H5W,15–17,6.43,,2.38
1168A,1H5W,20–22,6.48,,2.89
1168A,1H5W,30–32,6.58,,3.35
1168A,1H5W,40–42,6.68,,3
1168A,1H5W,45–47,6.73,,3.23
1168A,1H5W,50–52,6.78,,3.28
1168A,1H5W,55–57,6.83,,3.36
1168A,1H5W,60–62,6.88,,3.24
1168A,1H5W,65–67,6.93,,2.67
1168A,1H5W,70–72,6.98,,3.68
1168A,1H5W,75–77,7.03,,3.05
1168A,1H5W,80–82,7.08,,2.19
1168A,1H5W,85–87,7.13,,2.47
1168A,1H5W,90–92,7.18,,3.67
1168A,1H5W,95–97,7.23,,2.78
1168A,1HCCW,0–2,7.3,,3.3
1168A,1HCCW,5–7,7.35,,2.75
1168A,1HCCW,10–12,7.4,,3.04
1168A,2H1W,5–7,9.91,,2.84
1168A,2H1W,10–12,9.96,,2.56
1168A,2H1W,15–17,10.01,,2.09
1168A,2H1W,20–22,10.06,,2.19
1168A,2H1W,25–27,10.11,,2.04
1168A,2H1W,30–32,10.16,,2.2
1168A,2H1W,35–37,10.21,,2.73
1168A,2H1W,40–42,10.26,,2.14
1168A,2H1W,45–47,10.31,,2.35
1168A,2H1W,50–52,10.36,,1.94
1168A,2H1W,55–57,10.41,,2.92
1168A,2H1W,60–62,10.46,,2.88
