site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,3H1W,23–25,21.74,0.56,1.93,,,,,,,,
1168A,3H1W,88–90,22.39,-0.17,2.01,,,,,,,,
1168A,3H1W,127–128,22.78,0.50,1.63,,,,,,,,
1168A,3H2W,11.5–13.5,23.13,0.46,1.73,,,,,,,,
1168A,3H2W,49–51,23.50,0.78,1.92,,,,,,,,
1168A,3H2W,75–77,23.76,0.62,1.84,,,,,,,,
1168A,3H2W,114–117,24.15,0.98,2.03,,,,,,,,
1168A,3H2W,140–142,24.41,1.12,2.20,,,,,,,,
1168A,3H3W,33–35,24.84,0.76,1.87,,,,,,,,
1168A,3H3W,62–64,25.13,1.07,2.36,,,,,,,,
1168A,3H3W,88–90,25.39,1.37,2.23,,,,,,,,
1168A,3H3W,114–117,25.65,1.18,1.97,,,,,,,,
1168A,3H3W,140–142,25.91,1.15,2.34,,,,,,,,
1168A,3H4W,23–25,26.24,1.16,1.96,,,,,,,,
1168A,3H4W,49–51,26.50,1.61,2.29,,,,,,,,
1168A,3H4W,64–66,26.65,1.00,2.15,,,,,,,,
1168A,3H4W,88–90,26.89,0.71,2.05,,,,,,,,
1168A,3H4W,114–117,27.15,-0.51,-0.55,,,,,,,,
1168A,3H4W,140–142,27.41,0.49,1.71,,,,,,,,
1168A,3H5W,23–25,27.74,0.56,1.58,,,,,,,,
1168A,3H5W,52–54,28.03,0.58,1.59,,,,,,,,
1168A,3H5W,75–77,28.26,0.00,1.45,,,,,,,,
1168A,3H5W,102–104,28.53,0.58,1.74,,,,,,,,
1168A,3H5W,142–144,28.93,0.36,1.25,,,,,,,,
1168A,3H6W,23–25,29.24,1.16,2.37,,,,,,,,
1168A,3H6W,47–50,29.48,1.28,2.14,,,,,,,,
1168A,3H6W,76–78,29.76,1.29,2.09,,,,,,,,
1168A,3H6W,114–117,30.15,0.93,2.17,,,,,,,,
1168A,3H6W,140–142,30.41,0.89,2.05,,,,,,,,
1168A,3H7W,18–20,30.69,0.84,1.77,,,,,,,,
1168A,3H7W,32–34,30.83,1.12,1.97,,,,,,,,
1168A,3H7W,57.5–59.5,31.09,0.99,2.17,,,,,,,,
1168A,4H1W,3–5,31.74,0.99,1.85,,,,,,,,
1168A,4H1W,25–27,31.96,1.39,1.96,,,,,,,,
1168A,4H1W,50–52,32.21,1.22,1.69,,,,,,,,
1168A,4H1W,62–64,32.33,1.01,1.62,,,,,,,,
1168A,4H1W,64.5–66.5,32.36,1.11,1.64,,,,,,,,
1168A,4H1W,86–88,32.57,1.32,1.89,,,,,,,,
1168A,4H1W,110–113,32.81,1.48,2.39,,,,,,,,
1168A,4H2W,3–5,33.24,0.76,2.29,,,,,,,,
1168A,4H2W,25–27,33.46,1.32,2.93,,,,,,,,
1168A,4H2W,32–34,33.53,1.13,2.88,,,,,,,,
1168A,4H2W,53–55,33.74,0.94,2.04,,,,,,,,
1168A,4H2W,64–66,33.85,1.16,2.06,,,,,,,,
1168A,4H2W,75–77,33.96,1.27,2.19,,,,,,,,
1168A,4H2W,118–120,34.39,1.52,1.93,,,,,,,,
1168A,4H2W,120–122,34.41,1.35,2.10,,,,,,,,
1168A,4H3W,3–5,34.69,0.93,1.75,,,,,,,,
1168A,4H3W,26–28,34.92,0.69,1.67,,,,,,,,
1168A,4H3W,54–56,35.20,1.34,2.37,,,,,,,,
1168A,4H3W,62–64,35.28,1.43,2.28,,,,,,,,
1168A,4H3W,72–74,35.38,1.46,2.25,,,,,,,,
1168A,4H3W,96–98,35.62,1.36,2.51,,,,,,,,
1168A,4H3W,125–127,35.91,0.92,2.00,,,,,,,,
1168A,4H4W,3–5,36.19,0.55,1.28,,,,,,,,
1168A,4H4W,38–40,36.54,0.59,1.48,,,,,,,,
1168A,4H4W,40–42,36.56,0.63,1.41,,,,,,,,
1168A,4H4W,52–54,36.68,0.54,1.44,,,,,,,,
1168A,4H4W,78–80,36.94,0.59,1.40,,,,,,,,
1168A,4H4W,92–94,37.08,0.65,1.52,,,,,,,,
1168A,4H4W,119–121,37.35,0.82,1.50,,,,,,,,
1168A,4H5W,3–5,37.69,0.68,1.60,,,,,,,,
1168A,4H5W,14–16,37.80,0.78,1.72,,,,,,,,
1168A,4H5W,25–27,37.91,0.63,1.69,,,,,,,,
1168A,4H5W,38–40,38.04,0.64,1.78,,,,,,,,
1168A,4H5W,52–54,38.18,0.62,1.64,,,,,,,,
1168A,4H5W,62–64,38.28,0.72,1.84,,,,,,,,
1168A,4H5W,66–68,38.32,0.52,1.60,,,,,,,,
1168A,4H5W,83–85,38.49,0.77,1.83,,,,,,,,
1168A,4H5W,96–98,38.62,0.70,1.71,,,,,,,,
1168A,4H5W,113–115,38.79,0.61,1.45,,,,,,,,
1168A,4H5W,128–130,38.94,0.53,1.58,,,,,,,,
1168A,4H6W,3–5,39.09,0.64,1.65,,,,,,,,
1168A,4H6W,13–15,39.19,1.03,1.83,,,,,,,,
1168A,4H6W,23–25,39.29,0.96,1.92,,,,,,,,
1168A,4H6W,25.5–27.5,39.32,1.07,1.81,,,,,,,,
1168A,4H6W,39–41,39.45,1.12,1.97,,,,,,,,
1168A,4H6W,52–54,39.58,1.09,1.92,,,,,,,,
1168A,4H6W,64–66,39.70,1.17,2.05,,,,,,,,
1168A,4H6W,77–79,39.83,1.12,1.99,,,,,,,,
1168A,4H6W,92–94,39.98,1.02,1.83,,,,,,,,
1168A,4H6W,106–108,40.12,1.28,2.34,,,,,,,,
1168A,4H6W,120–122,40.26,1.34,2.46,,,,,,,,
1168A,4H6W,132–134,40.38,1.47,2.72,,,,,,,,
1168A,4H6W,143–145,40.49,1.08,2.63,,,,,,,,
1168A,4H7W,3–5,40.59,1.11,2.48,,,,,,,,
1168A,4H7W,14–16,40.70,1.05,2.37,,,,,,,,
1168A,4H7W,22–24,40.78,1.16,2.61,,,,,,,,
1168A,4H7W,25–27,40.81,1.04,2.41,,,,,,,,
1168A,4H7W,38–40,40.94,0.96,2.36,,,,,,,,
1168A,4H7W,50–52,41.06,1.54,2.85,,,,,,,,
1168A,5H1W,3–5,41.24,0.62,1.48,,,,,,,,
1168A,5H1W,14–16,41.35,0.53,1.52,,,,,,,,
