standard sorting order,Long List (isc:),Long List (formatted),Rank,Black/White/None text font colour,CMYK,Cyan,Magenta,Yellow,Black,RGB,Red,Green,Blue,HTML RGB HASH,,,,,
,,,,,,,,,,,,,,,,,,,
,"Eonothems, Erathems, Systems, Subsytems, Series, Subseries, Stages",,,,,,,,,,,,,,,,,,
standard sort,Long List (isc:),Long List (formatted),Rank,,,,,,,,,,,,,,,,
1,isc:Meghalayan,Meghalayan,Stage,Black,0/10/5/0,0,10,5,0,253/237/236,253,237,236,#FDEDEC,Meghalayan Stage,,"253,237,236",,#FDEDEC
2,isc:UpperHolocene,Upper/Late Holocene,Subseries,Black,0/10/5/0,0,10,5,0,253/237/236,253,237,236,#FDEDEC,Upper/Late Holocene Subseries,,"253,237,236",,#FDEDEC
3,isc:Northgrippian,Northgrippian,Stage,Black,0/10/10/0,0,10,10,0,253/236/228,253,236,228,#FDECE4,Northgrippian Stage,,"253,236,228",,#FDECE4
4,isc:MiddleHolocene,Middle Holocene,Subseries,Black,0/10/10/0,0,10,10,0,253/236/228,253,236,228,#FDECE4,Middle Holocene Subseries,,"253,236,228",,#FDECE4
5,isc:Greenlandian,Greenlandian,Stage,Black,0/10/15/0,0,10,15,0,254/236/219,254,236,219,#FEECDB,Greenlandian Stage,,"254,236,219",,#FEECDB
6,isc:LowerHolocene,Lower/Early Holocene,Subseries,Black,0/10/15/0,0,10,15,0,254/236/219,254,236,219,#FEECDB,Lower/Early Holocene Subseries,,"254,236,219",,#FEECDB
7,isc:Holocene,Holocene,Series,Black,0/10/20/0,0,10,20,0,254/235/210,254,235,210,#FEEBD2,Holocene Series,,"254,235,210",,#FEEBD2
8,isc:UpperPleistoceneStage,Upper Pleistocene,Stage,Black,0/5/15/0,0,5,15,0,255/242/211,255,242,211,#FFF2D3,Upper Pleistocene Stage,,"255,242,211",,#FFF2D3
9,isc:UpperPleistocene,Upper/Late Pleistocene,Subseries,Black,0/5/15/0,0,5,15,0,255/242/211,255,242,211,#FFF2D3,Upper/Late Pleistocene Subseries,,"255,242,211",,#FFF2D3
10,isc:Chibanian,Chibanian,Stage,Black,0/5/20/0,0,5,20,0,255/242/199,255,242,199,#FFF2C7,Chibanian Stage,,"255,242,199",,#FFF2C7
11,isc:MiddlePleistocene,Middle Pleistocene,Subseries,Black,0/5/20/0,0,5,20,0,255/242/199,255,242,199,#FFF2C7,Middle Pleistocene Subseries,,"255,242,199",,#FFF2C7
12,isc:Calabrian,Calabrian,Stage,Black,0/5/25/0,0,5,25,0,255/242/186,255,242,186,#FFF2BA,Calabrian Stage,,"255,242,186",,#FFF2BA
13,isc:Gelasian,Gelasian,Stage,Black,0/5/30/0,0,5,30,0,255/237/179,255,237,179,#FFEDB3,Gelasian Stage,,"255,237,179",,#FFEDB3
14,isc:LowerPleistocene,Lower/Early Pleistocene,Subseries,Black,0/5/35/0,0,5,35,0,255/240/185,255,240,185,#FFF0B9,Lower/Early Pleistocene Subseries,,"255,240,185",,#FFF0B9
15,isc:Pleistocene,Pleistocene,Series,Black,0/5/40/0,0,5,40,0,255/239/175,255,239,175,#FFEFAF,Pleistocene Series,,"255,239,175",,#FFEFAF
16,isc:Quaternary,Quaternary,System,Black,0/0/50/0,0,0,50,0,249/249/127,249,249,127,#F9F97F,Quaternary System,,"249,249,127",,#F9F97F
17,isc:Piacenzian,Piacenzian,Stage,Black,0/0/25/0,0,0,25,0,255/255/191,255,255,191,#FFFFBF,Piacenzian Stage,,"255,255,191",,#FFFFBF
18,isc:UpperPliocene,Upper/Late Pliocene,Subseries,Black,0/5/25/0,0,5,25,0,255/242/205,255,242,205,#FFF2CD,Upper/Late Pliocene Subseries,,"255,242,205",,#FFF2CD
19,isc:Zanclean,Zanclean,Stage,Black,0/0/30/0,0,0,30,0,255/255/179,255,255,179,#FFFFB3,Zanclean Stage,,"255,255,179",,#FFFFB3
20,isc:LowerPliocene,Lower/Early Pliocene,Subseries,Black,0/5/30/0,0,5,30,0,255/242/195,255,242,195,#FFF2C3,Lower/Early Pliocene Subseries,,"255,242,195",,#FFF2C3
21,isc:Pliocene,Pliocene,Series,Black,0/0/40/0,0,0,40,0,255/255/153,255,255,153,#FFFF99,Pliocene Series,,"255,255,153",,#FFFF99
22,isc:Messinian,Messinian,Stage,Black,0/0/55/0,0,0,55,0,255/255/115,255,255,115,#FFFF73,Messinian Stage,,"255,255,115",,#FFFF73
23,isc:Tortonian,Tortonian,Stage,Black,0/0/60/0,0,0,60,0,255/255/102,255,255,102,#FFFF66,Tortonian Stage,,"255,255,102",,#FFFF66
24,isc:UpperMiocene,Upper/Late Miocene,Subseries,Black,0/5/55/0,0,5,55,0,255/236/140,255,236,140,#FFEC8C,Upper/Late Miocene Subseries,,"255,236,140",,#FFEC8C
25,isc:Serravallian,Serravallian,Stage,Black,0/0/65/0,0,0,65,0,255/255/89,255,255,89,#FFFF59,Serravallian Stage,,"255,255,89",,#FFFF59
26,isc:Langhian,Langhian,Stage,Black,0/0/70/0,0,0,70,0,255/255/77,255,255,77,#FFFF4D,Langhian Stage,,"255,255,77",,#FFFF4D
27,isc:MiddleMiocene,Middle Miocene,Subseries,Black,0/5/65/0,0,5,65,0,255/236/115,255,236,115,#FFEC73,Middle Miocene Subseries,,"255,236,115",,#FFEC73
28,isc:Burdigalian,Burdigalian,Stage,Black,0/0/75/0,0,0,75,0,255/255/65,255,255,65,#FFFF41,Burdigalian Stage,,"255,255,65",,#FFFF41
29,isc:Aquitanian,Aquitanian,Stage,Black,0/0/80/0,0,0,80,0,255/255/51,255,255,51,#FFFF33,Aquitanian Stage,,"255,255,51",,#FFFF33
30,isc:LowerMiocene,Lower/Early Miocene,Subseries,Black,0/5/75/0,0,5,75,0,255/236/85,255,236,85,#FFEC55,Lower/Early Miocene Subseries,,"255,236,85",,#FFEC55
31,isc:Miocene,Miocene,Series,Black,0/0/100/0,0,0,100,0,255/255/0,255,255,0,#FFFF00,Miocene Series,,"255,255,0",,#FFFF00
32,isc:Neogene,Neogene,System,Black,0/10/90/0,0,10,90,0,255/230/25,255,230,25,#FFE619,Neogene System,,"255,230,25",,#FFE619
33,isc:Chattian,Chattian,Stage,Black,0/10/30/0,0,10,30,0,254/230/170,254,230,170,#FEE6AA,Chattian Stage,,"254,230,170",,#FEE6AA
34,isc:Rupelian,Rupelian,Stage,Black,0/15/35/0,0,15,35,0,254/217/154,254,217,154,#FED99A,Rupelian Stage,,"254,217,154",,#FED99A
35,isc:Oligocene,Oligocene,Series,Black,0/25/45/0,0,25,45,0,254/192/122,254,192,122,#FEC07A,Oligocene Series,,"254,192,122",,#FEC07A
36,isc:Priabonian,Priabonian,Stage,Black,0/20/30/0,0,20,30,0,253/205/161,253,205,161,#FDCDA1,Priabonian Stage,,"253,205,161",,#FDCDA1
37,isc:Bartonian,Bartonian,Stage,Black,0/25/35/0,0,25,35,0,253/192/145,253,192,145,#FDC091,Bartonian Stage,,"253,192,145",,#FDC091
38,isc:Lutetian,Lutetian,Stage,Black,0/30/40/0,0,30,40,0,253/180/130,253,180,130,#FDB482,Lutetian Stage,,"253,180,130",,#FDB482
39,isc:Ypresian,Ypresian,Stage,Black,0/35/45/0,0,35,45,0,252/167/115,252,167,115,#FCA773,Ypresian Stage,,"252,167,115",,#FCA773
40,isc:Eocene,Eocene,Series,Black,0/30/50/0,0,30,50,0,253/180/108,253,180,108,#FDB46C,Eocene Series,,"253,180,108",,#FDB46C
41,isc:Thanetian,Thanetian,Stage,Black,0/25/50/0,0,25,50,0,253/191/111,253,191,111,#FDBF6F,Thanetian Stage,,"253,191,111",,#FDBF6F
42,isc:Selandian,Selandian,Stage,Black,0/25/55/0,0,25,55,0,254/191/101,254,191,101,#FEBF65,Selandian Stage,,"254,191,101",,#FEBF65
43,isc:Danian,Danian,Stage,Black,0/30/55/0,0,30,55,0,253/180/98,253,180,98,#FDB462,Danian Stage,,"253,180,98",,#FDB462
44,isc:Paleocene,Paleocene,Series,Black,0/40/60/0,0,40,60,0,253/167/95,253,167,95,#FDA75F,Paleocene Series,,"253,167,95",,#FDA75F
45,isc:Paleogene,Paleogene,System,Black,5/0/90/0,5,0,90,0,253/154/82,253,154,82,#FD9A52,Paleogene System,,"253,154,82",,#FD9A52
46,isc:Cenozoic,Cenozoic,Erathem,Black,40/0/5/0,40,0,5,0,242/249/29,242,249,29,#F2F91D,Cenozoic Erathem,,"242,249,29",,#F2F91D
47,isc:Maastrichtian,Maastrichtian,Stage,Black,5/0/45/0,5,0,45,0,242/250/140,242,250,140,#F2FA8C,Maastrichtian Stage,,"242,250,140",,#F2FA8C
48,isc:Campanian,Campanian,Stage,Black,10/0/50/0,10,0,50,0,230/244/127,230,244,127,#E6F47F,Campanian Stage,,"230,244,127",,#E6F47F
49,isc:Santonian,Santonian,Stage,Black,15/0/55/0,15,0,55,0,217/239/116,217,239,116,#D9EF74,Santonian Stage,,"217,239,116",,#D9EF74
50,isc:Coniacian,Coniacian,Stage,Black,20/0/60/0,20,0,60,0,204/233/104,204,233,104,#CCE968,Coniacian Stage,,"204,233,104",,#CCE968
51,isc:Turonian,Turonian,Stage,Black,25/0/65/0,25,0,65,0,191/227/93,191,227,93,#BFE35D,Turonian Stage,,"191,227,93",,#BFE35D
52,isc:Cenomanian,Cenomanian,Stage,Black,30/0/70/0,30,0,70,0,179/222/83,179,222,83,#B3DE53,Cenomanian Stage,,"179,222,83",,#B3DE53
53,isc:UpperCretaceous,Upper Cretaceous,Series,Black,35/0/75/0,35,0,75,0,166/216/74,166,216,74,#A6D84A,Upper Cretaceous Series,,"166,216,74",,#A6D84A
54,isc:Albian,Albian,Stage,Black,20/0/40/0,20,0,40,0,204/234/151,204,234,151,#CCEA97,Albian Stage,,"204,234,151",,#CCEA97
55,isc:Aptian,Aptian,Stage,Black,25/0/45/0,25,0,45,0,191/228/138,191,228,138,#BFE48A,Aptian Stage,,"191,228,138",,#BFE48A
56,isc:Barremian,Barremian,Stage,Black,30/0/50/0,30,0,50,0,179/223/127,179,223,127,#B3DF7F,Barremian Stage,,"179,223,127",,#B3DF7F
57,isc:Hauterivian,Hauterivian,Stage,Black,35/0/55/0,35,0,55,0,166/217/117,166,217,117,#A6D975,Hauterivian Stage,,"166,217,117",,#A6D975
58,isc:Valanginian,Valanginian,Stage,Black,40/0/60/0,40,0,60,0,153/211/106,153,211,106,#99D36A,Valanginian Stage,,"153,211,106",,#99D36A
59,isc:Berriasian,Berriasian,Stage,Black,45/0/65/0,45,0,65,0,140/205/96,140,205,96,#8CCD60,Berriasian Stage,,"140,205,96",,#8CCD60
60,isc:LowerCretaceous,Lower Cretaceous,Series,Black,45/0/70/0,45,0,70,0,140/205/87,140,205,87,#8CCD57,Lower Cretaceous Series,,"140,205,87",,#8CCD57
61,isc:Cretaceous,Cretaceous,System,Black,50/0/75/0,50,0,75,0,127/198/78,127,198,78,#7FC64E,Cretaceous System,,"127,198,78",,#7FC64E
62,isc:Tithonian,Tithonian,Stage,Black,15/0/0/0,15,0,0,0,217/241/247,217,241,247,#D9F1F7,Tithonian Stage,,"217,241,247",,#D9F1F7
63,isc:Kimmeridgian,Kimmeridgian,Stage,Black,20/0/0/0,20,0,0,0,204/236/244,204,236,244,#CCECF4,Kimmeridgian Stage,,"204,236,244",,#CCECF4
64,isc:Oxfordian,Oxfordian,Stage,Black,25/0/0/0,25,0,0,0,191/231/241,191,231,241,#BFE7F1,Oxfordian Stage,,"191,231,241",,#BFE7F1
65,isc:UpperJurassic,Upper Jurassic,Series,Black,30/0/0/0,30,0,0,0,179/227/238,179,227,238,#B3E3EE,Upper Jurassic Series,,"179,227,238",,#B3E3EE
66,isc:Callovian,Callovian,Stage,Black,25/0/5/0,25,0,5,0,191/231/229,191,231,229,#BFE7E5,Callovian Stage,,"191,231,229",,#BFE7E5
67,isc:Bathonian,Bathonian,Stage,Black,30/0/5/0,30,0,5,0,179/226/227,179,226,227,#B3E2E3,Bathonian Stage,,"179,226,227",,#B3E2E3
68,isc:Bajocian,Bajocian,Stage,Black,35/0/5/0,35,0,5,0,166/221/224,166,221,224,#A6DDE0,Bajocian Stage,,"166,221,224",,#A6DDE0
69,isc:Aalenian,Aalenian,Stage,Black,40/0/5/0,40,0,5,0,154/217/221,154,217,221,#9AD9DD,Aalenian Stage,,"154,217,221",,#9AD9DD
70,isc:MiddleJurassic,Middle Jurassic,Series,Black,50/0/5/0,50,0,5,0,128/207/216,128,207,216,#80CFD8,Middle Jurassic Series,,"128,207,216",,#80CFD8
71,isc:Toarcian,Toarcian,Stage,Black,40/5/0/0,40,5,0,0,153/206/227,153,206,227,#99CEE3,Toarcian Stage,,"153,206,227",,#99CEE3
72,isc:Pliensbachian,Pliensbachian,Stage,White,50/5/0/0,50,5,0,0,128/197/221,128,197,221,#80C5DD,Pliensbachian Stage,,"128,197,221",,#80C5DD
73,isc:Sinemurian,Sinemurian,Stage,White,60/5/0/0,60,5,0,0,103/188/216,103,188,216,#67BCD8,Sinemurian Stage,,"103,188,216",,#67BCD8
74,isc:Hettangian,Hettangian,Stage,White,70/5/0/0,70,5,0,0,78/179/211,78,179,211,#4EB3D3,Hettangian Stage,,"78,179,211",,#4EB3D3
75,isc:LowerJurassic,Lower Jurassic,Series,White,75/5/0/0,75,5,0,0,66/174/208,66,174,208,#42AED0,Lower Jurassic Series,,"66,174,208",,#42AED0
76,isc:Jurassic,Jurassic,System,White,80/0/5/0,80,0,5,0,52/178/201,52,178,201,#34B2C9,Jurassic System,,"52,178,201",,#34B2C9
77,isc:Rhaetian,Rhaetian,Stage,Black,10/25/0/0,10,25,0,0,227/185/219,227,185,219,#E3B9DB,Rhaetian Stage,,"227,185,219",,#E3B9DB
78,isc:Norian,Norian,Stage,Black,15/30/0/0,15,30,0,0,214/170/211,214,170,211,#D6AAD3,Norian Stage,,"214,170,211",,#D6AAD3
79,isc:Carnian,Carnian,Stage,Black,20/35/0/0,20,35,0,0,201/155/203,201,155,203,#C99BCB,Carnian Stage,,"201,155,203",,#C99BCB
80,isc:UpperTriassic,Upper Triassic,Series,White,25/40/0/0,25,40,0,0,189/140/195,189,140,195,#BD8CC3,Upper Triassic Series,,"189,140,195",,#BD8CC3
81,isc:Ladinian,Ladinian,Stage,White,20/45/0/0,20,45,0,0,201/131/191,201,131,191,#C983BF,Ladinian Stage,,"201,131,191",,#C983BF
82,isc:Anisian,Anisian,Stage,White,25/50/0/0,25,50,0,0,188/117/183,188,117,183,#BC75B7,Anisian Stage,,"188,117,183",,#BC75B7
