kind,Hole,type,Event,rmcd,depth range,Age,error,source,"Core, section",interval top,"Core, Section",interval bottom,,,
Isotope,1168A,tie,Holocene,0.33,0,0.01,0.0001,LR04,,,,,,,
Isotope,1168A,tie,MIS2.2,0.58,0,0.02,0.0001,LR04,,,,,,,
Nannofossil,1168A,FO,E.hux acme,0.81,0.375,0.09,0.0005,LR04,1H-1,15-16,1H-1,90-91,,,
Isotope,1168A,tie,MIS3c,1.23,0,0.05,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS4,1.38,0,0.06,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS5c,1.58,0,0.10,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS5e,1.83,0,0.12,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS6b,1.98,0,0.14,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS6d,2.08,0,0.18,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS7a,2.18,0,0.19,0.0005,LR04,,,,,,,
Nannofossil,1168A,FO,E.hux,2.31,0.375,0.29,0.0005,nannotax,1H-2,15-16,1H-2,90-91,,,
Isotope,1168A,tie,MIS7c,2.33,0,0.22,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS7e,2.43,0,0.24,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS8a,2.63,0,0.27,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS9a,2.83,0,0.29,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS9c,3.08,0,0.31,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS9e,3.33,0,0.33,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS10a,3.53,0,0.35,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS11c,3.8,0,0.41,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS13b,3.81,,0.50,0.0005,,,,,,,,
Nannofossil,1168A,LO,Pseudoemiliania lacunosa,3.81,0.375,0.44,0.0005,nannotax,1H-3,15-16,1H-3,90-91,,,
Isotope,1168A,tie,MIS14b,4.1,,0.54,0.0005,,,,,,,,
Isotope,1168A,tie,MIS15a,4.5,,0.58,0.0005,,,,,,,,
Isotope,1168A,tie,MIS16a,5.18,0,0.63,0.0005,LR04,,,,,,,
Isotope,1168A,tie,MIS17c,5.75,,0.71,0.0005,,,,,,,,
Isotope,1168A,tie,MIS18b,7.05,,0.73,0.0005,,,,,,,,
Magnetochron,1168B,FO,C1n,10.4,0,0.77,0.0005,GTS2020,,,,,,,
Isotope,1168A,tie,MIS20a,10.56,0,0.80,0.0005,CENOGRID,,,,,,,
Nannofossil,1168A,LO,Reticulofenestra asanoi,11.135,0.375,1.19,0.745,nannotax,2H-1,90-91,2H-2, 15–16,,,
Isotope,1168A,tie,MIS21c,11.6,,0.85,0.0005,CENOGRID,,,,,,,
Nannofossil,1168A,FO,Reticulofenestra asanoi,13.39,0.375,1.93,0.0005,nannotax,2H-3,15–16,2H-3,90–91,,,
Nannofossil,1168A,LO,Helicosphaera sellii,13.39,0.375,1.19,0.745,nannotax,2H-3,15–16,2H-3,90–91,,,
Nannofossil,1168A,LO,Calcidiscus macintyrei,13.39,0.375,1.70,0.0005,nannotax,2H-3,15–16,2H-3,90–91,,,
Magnetochron,1168B,LO,C1r.1n,14.6,0,0.99,0.0005,GTS2020,,,,,,,
Nannofossil,1168A,FO,Gephyrocapsa oceanica,16.36,0.375,1.19,0.745,nannotax,2H-5,15–16,2H-5,90–91,,,
Foraminifera,1168A,FO,Globorotalia truncatulinoides,16.595,2.93,1.93,0.0005,microtax,2H-3,78–83,2H-CC,,,,
Magnetochron,1168B,FO,C1r.1n,16.8,0,1.07,0.0005,GTS2020,,,,,,,
Nannofossil,1168A,FO,Gephyrocapsa caribbeanica,17.515,0.75,1.19,0.745,nannotax,2H-5,90–91,2H-6,15–16,,,
Magnetochron,1168B,LO,C1r.2n,18.7,0,1.18,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,FO,C1r.2n,20.3,0,1.22,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,LO,C2n,22.9,0,1.77,0.0005,GTS2020,,,,,,,
Nannofossil,1168A,LO,Discoaster surculus,25.03,0,2.49,0.0005,nannotax,3H-3,15–16,3H-3,,,,
Isotope,1168A,tie,Pd13C C2n,26.5,,1.88,0.1,GTS2020,,,,,,,
Magnetochron,1168B,FO,C2n,29.5,0,1.93,0.0005,GTS2020,,,,,,,
Dinocyst,1168A,LO,Invertocysta spp.,32.92,1.64,2.26,0.15,"zegarra and Helenes, 2011",3H-CC,,4H-3,60-62,,,
Isotope,1168A,tie,G6,33.25,,2.71,0.0005,CENOGRID,,,,,,,
Foraminifera,1168A,FO,Globorotalia inflata,33.785,1.475,2.76,0.37,microtax,4H-1,79-83,4H-3,79-83,,,
Isotope,1168A,tie,G17,34.6,0,2.95,0.0005,CENOGRID,,,,,,,
Isotope,1168A,tie,G20,35.42,,3.02,0.0005,CENOGRID,,,,,,,
Magnetochron,1168B,FO,C2An.1n,36.4,0,3.03,0.0005,GTS2020,,,,,,,
Isotope,1168A,tie,K1,38,,3.08,0.0005,CENOGRID,,,,,,,
Magnetochron,1168B,LO,C2An.2n,38.5,0,3.12,0.0005,GTS2020,,,,,,,
Isotope,1168A,tie,KM2,39,,3.15,0.0005,,,,,,,,
Isotope,1168A,tie,M1,39.65,,3.25,0.0005,CENOGRID,,,,,,,
Isotope,1168A,tie,M2,40.5,,3.30,0.0005,CENOGRID,,,,,,,
Isotope,1168A,tie,MG1,41.5,,3.32,0.0005,CENOGRID,,,,,,,
Isotope,1168A,tie,MG3,43.25,,3.36,0.0005,CENOGRID,,,,,,,
Magnetochron,1168B,FO,C2An.3n,48.64,0,3.60,0.0005,GTS2020,,,,,,,
Nannofossil,1168A,LO,Reticulofenestra pseudoumbilica,53.61,0.375,3.70,0.1,nannotax,6H-2,15–16,6H-2,90–91,,,
Foraminifera,1168A,LO,Globorotalia pliozea,53.9,1.5,4.37,0.15,microtax,6H-1,80–84,6H-3,80–84,,,
Magnetochron,1168B,LO,C3n.1n,53.94,0,4.19,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,FO,C3n.1n,56.64,0,4.30,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,FO,C3n.2n,69.97,0,4.63,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,LO,C3n.4n,80.15,0,5.00,0.0005,GTS2020,,,,,,,
Foraminifera,1168A,FO,Globorotalia crassaformis,84.93,1.5,4.31,0.15,microtax,9H-1, 80–84,9H-3, 80–84,,,
Foraminifera,1168A,FO,Globorotalia puncticulata,84.93,1.5,5.05,0.675,microtax,9H-1, 80–84,9H-3, 80–84,,,
Magnetochron,1168B,FO,C3n.4n,88.85,0,5.24,0.0005,GTS2020,,,,,,,
Isotope,1168A,tie,Pd13C Mess,90,,5.50,0.1,CENOGRID,,,,,,,
Foraminifera,1168A,FO,Globorotalia pliozea,92.305,0.625,5.05,0.675,microtax,9H-CC,,10H-1, 80–84,,,
Dinocyst,1168A,LO,Reticulatosphaera actinocoronata,96.7,5.02,5.63,0.15,"Schreck et al., 2013",9H-CC,,10H-7,60–62,,,
Magnetochron,1168B,LO,C3An.1n,99.27,0,6.03,0.0005,GTS2020,,,,,,,
Magnetochron,1168B,FO,C3An.2n,109.27,0,6.25,0.0005,GTS2020,,,,,,,
Foraminifera,1168A,FO,Globorotalia sphericomiozea,111.293,2.9525,5.05,0.675,nannotax,11H-3,80–84,11H-CC,,,,
Magnetochron,1168B,LO,C3Bn,114.3,0,7.14,0.0005,GTS2020,12H-3,15–16,12H-4, 15–16,,,
Nannofossil,1168A,LO,Reticulofenestra pseudoumbilica ACME,116.7,0.75,6.50,1,,12H-1,15–16,12H-2,15–16,,,
Magnetochron,1168B,FO,C3Bn,117.6,0,7.21,0.0005,GTS2020,,,,,,,
Nannofossil,1168A,FO,Amaurolithus delicatus,119.705,0.75,7.17,0.255,nannotax,,,,,,,
Nannofossil,1168A,FO,Amaurolithus primus,124.205,0.75,7.42,0.15,nannotax,12H-6,15–16,12H-7,15–16,,,
Isotope,1168A,tie,T Pd13C,125,,7.50,0.1,CENOGRID,,,,,,,
Foraminifera,1168A,LO,Globorotalia panda,127.96,1.5,5.46,0.26,microtax,13X-1,80–84,13X-3,80–84,,,
Foraminifera,1168A,FO,Globorotalia conomiozea,132.66,1.5,7.36,1.22,microtax,14X-1,80–84,14X-3,80–84,,,
Radiolaria,1168A,FO,Stylacontarium aquilonium,141.123,3.5725,7.24,0.76,,14X-CC,,15X-CC,,,,
Nannofossil,1168A,LO,Minylitha convallis,141.345,0.75,7.68,0.15,nannotax,15X-1, 15–16,15X-2, 15–16,,,
Foraminifera,1168A,LO,Globoquadrina dehiscens,142.76,1.5,5.90,0.15,microtax,15X-1,80–84,15X-3,80–84,,,
Foraminifera,1168A,LO,Paragloborotalia continuosa,142.76,1.5,7.99,1.845,microtax,15X-1,80–84,15X-3,80–84,,,
