Age,d13C,d18O,d13Csm,d18Osm,d13Csm2,d18Osm2
0,-0.8,3.52,-0.496,3.498,-0.60621887,4.6201019
0.002,0.43,3.57,-0.277,3.523,-0.60559893,4.6183863
0.004,-0.645,3.535,-0.201,3.65,-0.60497904,4.6166787
0.006,0.047,3.807,-0.264,3.877,-0.60435915,4.6149797
0.008,-0.313,3.96,-0.41,4.18,-0.60373908,4.6132889
0.01,-0.805,4.925,-0.595,4.6,-0.60311878,4.6116071
0.012,-0.695,4.82,-0.759,4.994,-0.60249817,4.6099334
0.014,-0.94,5.353,-0.8,5.206,-0.60187709,4.6082687
0.016,-0.703,5.33,-0.792,5.312,-0.60125542,4.6066127
0.018,-0.777,5.277,-0.767,5.28,-0.60063314,4.6049647
0.02,-0.665,5.165,-0.729,5.19,-0.6000101,4.6033258
0.022,-0.745,5.05,-0.703,5.094,-0.59938616,4.6016955
0.024,-0.733,5.023,-0.672,5.001,-0.59876126,4.6000738
0.026,-0.52,4.923,-0.614,4.964,-0.59813535,4.5984612
0.028,-0.615,4.93,-0.549,4.938,-0.59750825,4.5968571
0.03,-0.475,4.975,-0.482,4.903,-0.59687984,4.5952621
0.032,-0.425,4.832,-0.437,4.867,-0.59625012,4.5936756
0.034,-0.375,4.837,-0.451,4.817,-0.59561884,4.5920982
0.036,-0.455,4.735,-0.47,4.772,-0.59498608,4.5905294
0.038,-0.67,4.755,-0.479,4.762,-0.59435159,4.5889697
0.04,-0.363,4.76,-0.461,4.752,-0.59371531,4.587419
0.042,-0.352,4.81,-0.432,4.747,-0.59307712,4.5858769
0.044,-0.485,4.675,-0.393,4.736,-0.59243697,4.5843444
0.046,-0.325,4.722,-0.359,4.725,-0.59179473,4.5828204
0.048,-0.425,4.73,-0.321,4.719,-0.59115028,4.581306
0.05,-0.143,4.73,-0.303,4.714,-0.59050357,4.5798001
0.052,-0.443,4.73,-0.341,4.694,-0.58985442,4.5783038
0.054,-0.335,4.628,-0.424,4.686,-0.58920276,4.5768166
0.056,-0.627,4.72,-0.593,4.72,-0.58854854,4.5753384
0.058,-0.687,4.74,-0.771,4.772,-0.58789158,4.5738692
0.06,-1.08,4.877,-0.925,4.855,-0.58723181,4.5724096
0.062,-0.94,4.942,-1.025,4.925,-0.58656913,4.5709591
0.064,-1.03,4.91,-0.955,4.928,-0.58590347,4.5695181
0.066,-0.995,4.97,-0.828,4.889,-0.58523464,4.5680861
0.068,-0.49,4.775,-0.727,4.791,-0.5845626,4.5666637
0.07,-0.668,4.628,-0.638,4.673,-0.58388722,4.5652504
0.072,-0.18,4.53,-0.621,4.561,-0.58320844,4.5638466
0.074,-1.45,4.53,-0.55,4.467,-0.58252615,4.5624523
0.076,0.087,4.37,-0.45,4.385,-0.58184016,4.5610676
0.078,-0.43,4.3,-0.192,4.299,-0.58115047,4.5596924
0.08,0.18,4.21,0.03,4.231,-0.58045697,4.5583262
0.082,-0.025,4.24,-0.043,4.195,-0.57975948,4.5569701
0.084,0.032,4.157,-0.211,4.202,-0.57905799,4.5556235
0.086,-0.6,4.24,-0.444,4.305,-0.57835233,4.5542865
0.088,-0.84,4.377,-0.639,4.417,-0.57764244,4.552959
0.09,-0.59,4.68,-0.578,4.482,-0.57692814,4.551641
0.092,-0.415,4.512,-0.435,4.517,-0.57620943,4.550333
0.094,-0.24,4.345,-0.269,4.478,-0.57548618,4.5490346
0.096,-0.007,4.463,-0.143,4.41,-0.57475823,4.5477457
0.098,-0.025,4.345,-0.178,4.354,-0.57402557,4.5464668
0.1,-0.49,4.34,-0.232,4.291,-0.57328796,4.545198
0.102,-0.52,4.225,-0.232,4.193,-0.57254547,4.5439386
0.104,0.17,4.01,-0.242,4.112,-0.57179785,4.5426893
0.106,-0.08,4.12,-0.263,4.1,-0.5710451,4.5414495
0.108,-0.74,4.1,-0.309,4.13,-0.57028705,4.5402203
0.11,-0.263,4.25,-0.454,4.236,-0.56952363,4.5390005
0.112,-0.497,4.317,-0.573,4.349,-0.56875473,4.5377908
0.114,-0.755,4.5,-0.55,4.427,-0.56798023,4.5365911
0.116,-0.42,4.44,-0.478,4.462,-0.56720001,4.5354013
0.118,-0.31,4.37,-0.316,4.389,-0.56641406,4.5342216
0.12,-0.223,4.377,-0.16,4.259,-0.56562221,4.5330524
0.122,0.005,4.01,-0.138,4.043,-0.56482434,4.5318928
0.124,-0.09,3.83,-0.173,3.83,-0.5640204,4.5307436
0.126,-0.47,3.717,-0.284,3.662,-0.56321025,4.5296044
0.128,-0.408,3.512,-0.434,3.623,-0.56239378,4.5284758
0.13,-0.417,3.728,-0.59,3.929,-0.56157088,4.5273571
0.132,-0.847,4.257,-0.72,4.338,-0.56074154,4.5262489
0.134,-0.883,5.097,-0.776,4.78,-0.55990809,4.5251503
0.136,-0.785,5.225,-0.806,5.167,-0.55907315,4.5240612
0.138,-0.69,5.2,-0.774,5.299,-0.55823702,4.5229816
0.14,-0.72,5.3,-0.785,5.28,-0.55739993,4.5219111
0.142,-0.993,5.147,-0.832,5.188,-0.55656201,4.5208497
0.144,-0.71,5.19,-0.973,5.112,-0.55572349,4.5197978
0.146,-1.24,4.93,-1.109,5.027,-0.55488467,4.5187545
0.148,-1.292,4.957,-1.191,4.963,-0.55404574,4.5177202
0.15,-1.145,5.01,-1.218,4.918,-0.55320692,4.516695
0.152,-1.09,4.73,-1.077,4.917,-0.55236834,4.5156789
0.154,-1.03,5.065,-0.899,4.92,-0.55153036,4.5146713
0.156,-0.723,4.947,-0.742,4.901,-0.55069315,4.5136719
0.158,-0.405,4.78,-0.658,4.877,-0.5498569,4.5126815
0.16,-0.975,4.85,-0.858,4.84,-0.54902184,4.5116997
0.162,-0.657,4.803,-1.081,4.8,-0.54818821,4.5107265
0.164,-1.85,4.8,-1.114,4.768,-0.54735619,4.5097613
0.166,-1.168,4.747,-1.096,4.74,-0.54652601,4.5088048
0.168,-0.487,4.693,-0.995,4.71,-0.54569799,4.5078559
0.17,-0.83,4.66,-0.874,4.694,-0.54487222,4.5069156
0.172,-1.15,4.72,-0.883,4.718,-0.54404896,4.5059834
0.174,-1.055,4.75,-0.926,4.749,-0.54322851,4.5050588
0.176,-0.44,4.85,-0.886,4.763,-0.54241091,4.5041423
0.178,-1.24,4.7,-0.843,4.776,-0.54159659,4.5032339
0.18,-0.64,4.775,-0.92,4.806,-0.54078561,4.5023332
0.182,-1.04,4.82,-0.989,4.824,-0.53997827,4.50144
0.184,-1.013,4.827,-0.924,4.81,-0.5391748,4.5005546
0.186,-0.985,4.835,-0.818,4.752,-0.53837538,4.4996762
0.188,-0.45,4.66,-0.657,4.593,-0.53758019,4.498806
0.19,-0.457,4.233,-0.501,4.408,-0.5367896,4.4979429
0.192,-0.575,4.325,-0.466,4.248,-0.53600365,4.497087
0.194,-0.315,4.055,-0.467,4.107,-0.53522265,4.4962382
0.196,-0.633,4.057,-0.476,4.008,-0.53444684,4.4953971
0.198,-0.412,3.942,-0.478,3.937,-0.53367645,4.4945626
0.2,-0.43,3.886,-0.447,3.907,-0.5329116,4.4937353
0.202,-0.448,3.83,-0.383,3.902,-0.53215259,4.4929152
0.204,-0.275,3.99,-0.252,3.927,-0.53139961,4.4921017
0.206,-0.1,3.975,-0.088,3.946,-0.53065294,4.4912949
0.208,0.075,3.96,0.045,3.962,-0.52991271,4.4904947
0.21,0.19,3.92,0.043,3.957,-0.52917922,4.4897013
0.212,-0.035,3.94,-0.007,3.942,-0.52845263,4.4889145
0.214,-0.26,3.96,-0.08,3.915,-0.52773321,4.4881344
0.216,-0.162,3.902,-0.184,3.888,-0.52702111,4.4873605
0.218,-0.063,3.843,-0.301,3.839,-0.52631664,4.4865928
0.22,-0.56,3.813,-0.423,3.831,-0.52561998,4.4858317
0.222,-0.62,3.914,-0.601,3.969,-0.52493131,4.4850764
0.224,-0.68,4.015,-0.737,4.157,-0.52425092,4.4843273
0.226,-0.79,4.545,-0.659,4.396,-0.523579,4.4835844
0.228,-0.66,4.657,-0.537,4.606,-0.52291578,4.4828472
0.23,-0.365,4.673,-0.486,4.666,-0.52226144,4.4821162
0.232,-0.07,4.69,-0.464,4.656,-0.52161622,4.481391
0.234,-0.735,4.415,-0.507,4.579,-0.52098036,4.4806714
0.236,-0.88,4.62,-0.563,4.467,-0.52035409,4.4799576
0.238,-0.587,4.327,-0.569,4.316,-0.5197376,4.479249
0.24,0,4.1,-0.579,4.173,-0.51913106,4.4785461
0.242,-0.985,4.31,-0.69,4.091,-0.51853484,4.477849
0.244,-0.797,3.657,-0.799,4.085,-0.51794904,4.4771566
0.246,-1,4.313,-0.784,4.253,-0.51737386,4.47647
0.248,-0.64,4.7,-0.723,4.473,-0.51680964,4.4757886
0.25,-0.54,4.56,-0.641,4.698,-0.51625651,4.475112
0.252,-0.455,4.955,-0.566,4.883,-0.5157147,4.4744406
0.254,-0.71,4.97,-0.554,4.927,-0.5151844,4.4737744
0.256,-0.607,4.897,-0.555,4.92,-0.51466596,4.4731126
0.258,-0.475,4.875,-0.5,4.862,-0.51415944,4.472456
0.26,-0.448,4.747,-0.483,4.793,-0.51366514,4.4718041
0.262,-0.5,4.753,-0.616,4.774,-0.5131833,4.4711571
0.264,-0.78,4.808,-0.805,4.776,-0.51271415,4.4705143
0.266,-1.16,4.795,-1.048,4.818,-0.51224655,4.4698811
0.268,-1.236,4.85,-1.262,4.864,-0.51176971,4.4692621
0.27,-1.435,4.92,-1.342,4.886,-0.51128423,4.468657
0.272,-1.24,4.92,-1.332,4.891,-0.51079053,4.4680657
0.274,-1.292,4.812,-1.261,4.876,-0.51028925,4.4674878
0.276,-1.04,4.86,-1.148,4.833,-0.50978082,4.4669228
0.278,-1.155,4.79,-0.981,4.77,-0.50926584,4.4663711
0.28,-0.778,4.685,-0.687,4.681,-0.50874484,4.4658318
0.282,-0.402,4.58,-0.428,4.581,-0.50821829,4.4653049
0.284,-0.025,4.475,-0.392,4.486,-0.50768673,4.4647903
0.286,-0.422,4.388,-0.43,4.395,-0.50715071,4.4642882
0.288,-0.82,4.3,-0.54,4.287,-0.50661081,4.4637971
0.29,-0.885,4.38,-0.676,4.225,-0.50606751,4.4633179
0.292,-0.19,3.94,-0.714,4.301,-0.5055213,4.4628496
0.294,-0.947,4.5,-0.724,4.416,-0.50497276,4.4623923
0.296,-0.965,4.67,-0.812,4.557,-0.50442243,4.461946
0.298,-0.52,4.79,-0.849,4.683,-0.50387084,4.4615102
0.3,-1.03,4.5,-0.652,4.684,-0.50331849,4.4610844
0.302,-0.42,4.73,-0.395,4.635,-0.50276589,4.4606686
0.304,0.1,4.6,-0.103,4.572,-0.50221366,4.4602628
0.306,0.07,4.455,0.065,4.479,-0.50166219,4.459866
0.308,0.11,4.408,0.092,4.394,-0.50111216,4.4594789
0.31,0.15,4.36,-0.264,4.398,-0.50056398,4.4591007
